"","Location","utc","CO","NO2","O3","PM10","PM25","SO2"
"1","Raleigh",2020-01-10,0.32375,0.0094375,0.022375,15.5,5.53125,0
"2","Raleigh",2020-01-11,0.197,0.0027,0.03,17.25,7.56,0
"3","Raleigh",2020-01-12,0.165238095238095,0.00223809523809524,0.0268095238095238,9.38095238095238,3.54285714285714,0
"4","Raleigh",2020-01-13,0.266,0.0066,0.0104666666666667,7.86666666666667,3.9,0
"5","Raleigh",2020-01-14,0.218571428571429,0.00576190476190476,0.016952380952381,7.71428571428571,2.72380952380952,0
"6","Raleigh",2020-01-15,0.324375,0.0075625,0.0091875,7.9375,4.1875,0
"7","Raleigh",2020-01-16,0.212857142857143,0.00457142857142857,0.0234285714285714,10.2380952380952,5.2952380952381,0
"8","Raleigh",2020-01-17,0.144761904761905,0.00238095238095238,0.0330952380952381,7.33333333333333,3.63333333333333,0
"9","Raleigh",2020-01-18,0.21047619047619,0.00480952380952381,0.0255238095238095,8.47619047619048,5.52857142857143,0
"10","Raleigh",2020-01-19,0.202380952380952,0.00266666666666667,0.0268571428571429,6.38095238095238,5.11904761904762,0
"11","Raleigh",2020-01-20,0.165,0.00215,0.02895,8.35,5.69,5e-05
"12","Raleigh",2020-01-21,0.177142857142857,0.00428571428571429,0.0339047619047619,7.85714285714286,4.62380952380952,0.000428571428571429
"13","Raleigh",2020-01-22,0.188571428571429,0.00480952380952381,0.033047619047619,9.52380952380952,6.86190476190476,0.000714285714285714
"14","Raleigh",2020-01-23,0.239473684210526,0.008,0.0253684210526316,15.5263157894737,8.42105263157895,0.000210526315789474
"15","Raleigh",2020-01-24,0.223076923076923,0.00484615384615385,0.0253076923076923,15.4615384615385,6.89230769230769,0
"16","Raleigh",2020-01-25,0.18,0.002875,0.033125,7.375,2.6,0
"17","Raleigh",2020-01-26,0.17952380952381,0.00333333333333333,0.024952380952381,5.71428571428571,3.71904761904762,0
"18","Raleigh",2020-01-27,0.446666666666667,0.0133333333333333,0.014,14.1428571428571,9.95714285714286,0.00019047619047619
"19","Raleigh",2020-01-28,0.192380952380952,0.00504761904761905,0.027047619047619,7.38095238095238,4.82857142857143,0.00019047619047619
"20","Raleigh",2020-01-29,0.24125,0.0094375,0.0224375,12.6875,5.9125,6.25e-05
"21","Raleigh",2020-01-30,0.196666666666667,0.005,0.0265555555555556,10.7777777777778,7.85,0
"22","Raleigh",2020-01-31,0.207142857142857,0.00857142857142857,0.0233809523809524,13.7619047619048,7.42380952380952,4.76190476190476e-05
"23","Raleigh",2020-02-01,0.189047619047619,0.00342857142857143,0.026,8,6.00952380952381,0
"24","Raleigh",2020-02-02,0.3,0.011,0.015,14.4,10.76,0
"25","Raleigh",2020-02-07,0.145,0.00275,0.03025,3.5,2.725,0
"26","Raleigh",2020-02-08,0.19,0.00638095238095238,0.0281904761904762,3.47619047619048,5.37142857142857,0
"27","Raleigh",2020-02-09,0.18952380952381,0.00428571428571429,0.0292857142857143,6.09523809523809,4.43809523809524,0
"28","Raleigh",2020-02-10,0.296842105263158,0.0100526315789474,0.0249473684210526,6.57894736842105,8.95789473684211,0
"29","Raleigh",2020-02-11,0.2325,0.005625,0.025,6.8125,10.9,0
"30","Raleigh",2020-02-12,0.187058823529412,0.00382352941176471,0.0232352941176471,2.76470588235294,7.84117647058824,0
"31","Raleigh",2020-02-13,0.173529411764706,0.00364705882352941,0.0249411764705882,7.35294117647059,7.64705882352941,0
"32","Raleigh",2020-02-14,0.146190476190476,0.00242857142857143,0.0315714285714286,7.71428571428571,4.01428571428571,0
"33","Raleigh",2020-02-15,0.157619047619048,0.00228571428571429,0.0328095238095238,10.2380952380952,5.57142857142857,0
"34","Raleigh",2020-02-16,0.29047619047619,0.00976190476190476,0.0234285714285714,17.8095238095238,12.2380952380952,0
"35","Raleigh",2020-02-17,0.2775,0.006875,0.021375,20.5625,11.15625,0
"36","Raleigh",2020-02-18,0.347058823529412,0.0118235294117647,0.0170588235294118,17.8235294117647,11.2411764705882,0
"37","Raleigh",2020-02-19,0.203888888888889,0.00394444444444444,0.0252222222222222,11.8333333333333,7.02222222222222,0
"38","Raleigh",2020-02-20,0.253809523809524,0.0079047619047619,0.018,11,6.38571428571429,0
"39","Raleigh",2020-02-21,0.151904761904762,0.00233333333333333,0.034047619047619,9.14285714285714,6.14761904761905,0
"40","Raleigh",2020-02-22,0.343,0.0116,0.0217,18.1,10.555,0
"41","Raleigh",2020-02-23,0.536666666666667,0.0133809523809524,0.021,21.1428571428571,13.6142857142857,0
"42","Raleigh",2020-02-24,0.318095238095238,0.0112380952380952,0.0255714285714286,18.952380952381,10.247619047619,0
"43","Raleigh",2020-02-25,0.271764705882353,0.00705882352941176,0.0215882352941176,12.5294117647059,7.72352941176471,0
"44","Raleigh",2020-02-26,0.3075,0.0081,0.0156,12.55,5.765,0
"45","Raleigh",2020-02-27,0.155,0.00185,0.03605,8.8,3.015,0
"46","Raleigh",2020-02-28,0.247777777777778,0.00955555555555555,0.0277222222222222,11.7777777777778,4.43888888888889,0
"47","Raleigh",2020-02-29,0.165714285714286,0.00295238095238095,0.035047619047619,8.38095238095238,4.5,0
"48","Raleigh",2020-03-01,0.204761904761905,0.00538095238095238,0.0348571428571429,7.95238095238095,5.4952380952381,0
"49","Raleigh",2020-03-02,0.256666666666667,0.00695238095238095,0.0373333333333333,16.8571428571429,8.15238095238095,0
"50","Raleigh",2020-03-03,0.2255,0.0043,0.03505,15.5,8.32,0
